date,time,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ,Trial,activity,activity_number
2019-01-20,16:27:33,1.8599999,2.31,-9.53,0.19999999,0.61,-0.74,0.19999999,0.61,-0.74,2,Lying,4
2019-01-20,16:27:33,1.8599999,2.31,-9.53,-0.06,0.78,-0.66999996,-0.06,0.78,-0.66999996,2,Lying,4
2019-01-20,16:27:33,2.31,1.5899999,-9.0,-0.06,0.78,-0.66999996,-0.06,0.78,-0.66999996,2,Lying,4
2019-01-20,16:27:33,2.31,1.5899999,-9.0,-0.21,0.76,-0.79999995,-0.21,0.76,-0.79999995,2,Lying,4
2019-01-20,16:27:33,2.27,2.57,-8.47,-0.21,0.76,-0.79999995,-0.21,0.76,-0.79999995,2,Lying,4
2019-01-20,16:27:33,2.27,2.57,-8.47,-0.37,0.57,-0.87,-0.37,0.57,-0.87,2,Lying,4
2019-01-20,16:27:33,0.84,4.02,-8.46,-0.37,0.57,-0.87,-0.37,0.57,-0.87,2,Lying,4
2019-01-20,16:27:33,0.84,4.02,-8.46,-0.55,0.13,-0.85999995,-0.55,0.13,-0.85999995,2,Lying,4
2019-01-20,16:27:33,0.32,5.7799997,-8.1,-0.55,0.13,-0.85999995,-0.55,0.13,-0.85999995,2,Lying,4
2019-01-20,16:27:33,0.32,5.7799997,-8.1,-0.83,-0.08,-0.29,-0.83,-0.08,-0.29,2,Lying,4
2019-01-20,16:27:33,1.9899999,7.33,-8.22,-0.83,-0.08,-0.29,-0.83,-0.08,-0.29,2,Lying,4
2019-01-20,16:27:33,1.9899999,7.33,-8.22,-1.0,0.16,0.51,-1.0,0.16,0.51,2,Lying,4
2019-01-20,16:27:33,3.6,4.0,-2.36,-1.0,0.16,0.51,-1.0,0.16,0.51,2,Lying,4
2019-01-20,16:27:33,3.6,4.0,-2.36,-0.84999996,1.11,0.48999998,-0.84999996,1.11,0.48999998,2,Lying,4
2019-01-20,16:27:33,2.98,5.74,-8.019999499999999,-0.84999996,1.11,0.48999998,-0.84999996,1.11,0.48999998,2,Lying,4
